title,year,director,tmdb_id,poster_path,matched_title,matched_year,original_language,reason
Ek Villain,2014,Mohit Suri,276935,/tIMfMyCo7yeRqaRXmor5yJj14pV.jpg,Ek Villain,2014,hi,
Haider,2014,Vishal Bhardwaj,280795,/gjc39e8ywn4KeeuQnjI5BQtWBc6.jpg,Haider,2014,hi,
Highway,2014,Imtiaz Ali,252841,/xuTevYF35WDkElpm5vNBVaISkT9.jpg,Highway,2014,hi,
Mary Kom,2014,Omung Kumar,284288,/eI1rxHzxO2sWeeBMvr42buetYnd.jpg,Mary Kom,2014,hi,
Bajrangi Bhaijaan,2015,Kabir Khan,348892,/vhlliI7HZZlWfo5d6CiyfBAGLrW.jpg,Bajrangi Bhaijaan,2015,hi,
Prem Ratan Dhan Payo,2015,Sooraj Barjatya,362136,/pCxT9c2E0YhzxsSkweVW2ELO3mS.jpg,Prem Ratan Dhan Payo,2015,hi,
Bajirao Mastani,2015,Sanjay Leela Bhansali,362045,/eXKHjELZAbF7cVd9fzYMhvSsXDI.jpg,Bajirao Mastani,2015,hi,
Dilwale,2015,Rohit Shetty,370665,/pYgPu6hhOr61knwbestTx4vSdMb.jpg,Dilwale,2015,hi,
ABCD 2,2015,Remo D'Souza,336790,/7S0heTpQydVBSYl6yBxmqVyentQ.jpg,ABCD 2,2015,hi,
Tanu Weds Manu Returns,2015,Aanand L. Rai,336211,/sO3XD6ZDZetb2N6YDQrHLTVQrfq.jpg,Tanu Weds Manu: Returns,2015,hi,
Dil Dhadakne Do,2015,Zoya Akhtar,338065,/AqFX6282JM2ollS4XTFp6t6Dwa9.jpg,Dil Dhadakne Do,2015,hi,
Badlapur,2015,Sriram Raghavan,323517,/ePy0EqRwO2mi5RVH4X0MiUlMU8.jpg,Badlapur,2015,hi,
Pyaar Ka Punchnama 2,2015,Luv Ranjan,363413,/2EjMwAPh8ILLZloqr5U42BCoWMe.jpg,Pyaar Ka Punchnama 2,2015,hi,
Baahubali: The Beginning (Hindi),2015,S. S. Rajamouli,,,,,,NO_RESULTS
Sultan,2016,Ali Abbas Zafar,376812,/oarT8LL2XE0aPU9kXqrD249Z4rM.jpg,Sultan,2016,hi,
Ae Dil Hai Mushkil,2016,Karan Johar,393445,/hlDOF4UhUqrYY7gqLk3Rl0Fx4ns.jpg,Ae Dil Hai Mushkil,2016,hi,
Rustom,2016,Tinu Suresh Desai,392572,/xwf74VcrHu1etzOsRVx7nckPPLR.jpg,Rustom,2016,hi,
MS Dhoni: The Untold Story,2016,Neeraj Pandey,388333,/lUpMckVHaB55YJ3SMK0arwxKmCt.jpg,M.S. Dhoni: The Untold Story,2016,hi,
Airlift,2016,Raja Krishna Menon,375290,/oyaxIm3kTWDQtcYQ45eN5sZ6WIz.jpg,Airlift,2016,hi,
Neerja,2016,Ram Madhvani,376869,/alDRJWHI1TfqB9ev6cMbVE5P92x.jpg,Neerja,2016,hi,
